 Subject|  803401|  803402|  803403|  803404|  803405|  803406|  803407|  803408|  803409|  803410|  803500|  803601|  803602|  803603|  803604|  803605|  803606|  803607|  803608|  803609|  803610|  Amount|
  802604|      49|      38|      41|      16|      10|       9|       6|       3|       1|       6|       7|      41|      42|      27|      18|       9|       4|       7|       2|       4|       4|     344|
  802605|      28|      30|      19|      11|       5|       3|       2|       0|       0|       0|       3|      43|      28|      15|      13|       8|       3|       4|       0|       1|       0|     216|
  802606|      24|      23|       9|       8|       6|       1|       3|       2|       0|       1|       5|      23|      24|      13|       9|       8|       6|       1|       2|       0|       3|     171|
  802607|       7|      12|       7|       3|       6|       3|       2|       0|       2|       4|       3|      22|      15|       5|       6|       5|       3|       0|       1|       0|       1|     107|
  802608|      10|      13|       6|       4|       3|       1|       0|       0|       0|       2|       1|       5|      15|       5|       6|       3|       1|       1|       0|       0|       0|      76|
  802609|       2|       2|       2|       1|       0|       1|       0|       0|       0|       0|       0|       5|       2|       2|       0|       1|       0|       1|       0|       0|       0|      19|
  802610|       0|       1|       2|       0|       0|       0|       0|       0|       0|       0|       0|       0|       3|       0|       0|       0|       0|       0|       0|       0|       0|       6|
  802400|      32|      29|      16|      11|       9|       2|       1|       1|       4|       6|      10|      47|      39|      28|      25|       7|       7|       5|       2|       1|       5|     287|
  802401|      53|      52|      43|      19|      13|      10|       6|       6|       0|       9|       9|      69|      61|      30|      21|      20|       4|      10|       3|       3|       4|     445|
  802402|      81|      50|      30|      25|      17|       7|       3|       1|       2|       9|      15|     104|      75|      56|      30|      13|       9|       5|       4|       0|       7|     543|
  802403|      58|      56|      35|      21|       8|       2|       4|       2|       0|       8|      11|      72|      55|      34|      16|      16|      11|       2|       5|       2|       3|     421|
  802404|      42|      36|      26|      15|       6|       5|       5|       1|       1|       3|       4|      59|      41|      29|      26|       8|       4|       3|       2|       2|       2|     320|
  802405|      37|      30|      28|      10|       7|       6|       6|       2|       1|       1|       5|      31|      32|      13|      15|       8|       2|       1|       4|       0|       0|     239|
  802406|      15|      21|      18|      13|       7|       0|       2|       3|       1|       1|       4|      24|      16|      19|       2|       7|       4|       2|       1|       0|       0|     160|
  802407|      15|       6|       6|       3|       1|       2|       0|       0|       0|       4|       0|      10|      10|      11|       4|       2|       1|       3|       1|       2|       1|      82|
